person1Id|person2Id|startDate|endDate
10995116279273|13194139536660|1288569600000|1291161600000
30786325580233|13194139534721|1288569600000|1291161600000
10995116281649|6597069770057|1288569600000|1291161600000
24189255813050|24189255813181|1288569600000|1291161600000
2199023258752|21990232557292|1288569600000|1291161600000
32985348833536|30786325581011|1288569600000|1291161600000
30786325578904|28587302325292|1288569600000|1291161600000
19791209301990|1549|1288569600000|1291161600000
15393162792202|4398046514585|1288569600000|1291161600000
17592186047743|28587302325201|1288569600000|1291161600000
24189255812105|32985348834794|1296518400000|1298937600000
17592186044568|19791209300595|1296518400000|1298937600000
30786325579394|15393162790754|1296518400000|1298937600000
1184|15393162790911|1296518400000|1298937600000
13194139536407|6597069768240|1296518400000|1298937600000
8796093025250|2199023257044|1296518400000|1298937600000
32985348836951|10995116279167|1296518400000|1298937600000
13194139534927|10995116280870|1296518400000|1298937600000
6597069767686|15393162791062|1296518400000|1298937600000
17592186045739|10995116278236|1296518400000|1298937600000
28587302324192|10995116279592|1298937600000|1301616000000
10995116281171|10995116278799|1298937600000|1301616000000
4398046512548|24189255813134|1298937600000|1301616000000
15393162791418|3781|1298937600000|1301616000000
13194139536078|21990232557808|1298937600000|1301616000000
28587302325834|2199023257232|1298937600000|1301616000000
6597069768951|1922|1298937600000|1301616000000
6597069769164|24189255814669|1298937600000|1301616000000
17592186047947|8796093025305|1298937600000|1301616000000
3212|17592186045896|1298937600000|1301616000000
10995116279521|32985348835269|1301616000000|1304208000000
28587302324910|24189255814950|1301616000000|1304208000000
24189255812045|19791209301054|1301616000000|1304208000000
19791209301475|32985348835238|1301616000000|1304208000000
4398046512999|6597069767575|1301616000000|1304208000000
13194139535422|28587302324631|1301616000000|1304208000000
4398046514566|4398046511753|1301616000000|1304208000000
21990232556027|2199023258582|1301616000000|1304208000000
24189255811817|4398046512167|1301616000000|1304208000000
8796093023094|4398046511442|1301616000000|1304208000000
8796093024836|2199023257455|1304208000000|1306886400000
10995116279619|6597069769142|1304208000000|1306886400000
19791209302521|2199023258513|1304208000000|1306886400000
28587302324094|8796093025055|1304208000000|1306886400000
2199023257864|32985348836352|1304208000000|1306886400000
6597069767635|28587302325148|1304208000000|1306886400000
13194139536794|21990232556990|1304208000000|1306886400000
28587302324133|15393162788922|1304208000000|1306886400000
30786325580011|13194139537135|1304208000000|1306886400000
32985348836239|17592186044551|1304208000000|1306886400000
4398046513345|21990232558064|1309478400000|1312156800000
28587302323895|4398046511684|1309478400000|1312156800000
19791209300159|32985348833890|1309478400000|1312156800000
13194139534730|8796093025669|1309478400000|1312156800000
15393162790303|15393162792181|1309478400000|1312156800000
15393162791973|1131|1309478400000|1312156800000
3274|21990232557366|1309478400000|1312156800000
35184372089375|344|1309478400000|1312156800000
8796093025550|1929|1309478400000|1312156800000
24189255811663|2199023256233|1309478400000|1312156800000
15393162791204|17592186047529|1322697600000|1325376000000
15393162789228|10995116277995|1322697600000|1325376000000
2199023259017|21990232557835|1322697600000|1325376000000
2199023256456|3897|1322697600000|1325376000000
17592186044810|4398046514225|1322697600000|1325376000000
19791209302584|32985348836352|1322697600000|1325376000000
15393162790043|19791209300787|1322697600000|1325376000000
10995116279629|6597069769142|1322697600000|1325376000000
3571|24189255813537|1322697600000|1325376000000
4398046512167|4398046511467|1322697600000|1325376000000
